character,jap text,Eng,Esp
menu_label__(L_00b7e),調教の館／誰もいない,Training hall/No one,Sala de entrenamiento/no hay nadie en la casa.
menu_label__(L_00b8a),タマネギ／道具洗い,Tamanegi/Tool washing,Tamanegi/Lavado de herramientas.
menu_label__(L_00b96),小春／考え事,Koharu/Thinking,Koharu/Pensado en.
menu_label__(L_00ba2),千手／ラブレター,Senju/Love Letter,Senju/Carta de amor.
menu_label__(L_00bae),タマネギ／選挙協力,Tamanegi/Electoral Assistance,Tamanegi/Cooperación electoral
menu_label__(L_00a3c),次,next,siguiente
menu_label__(L_00bba),タマネギ／売春宿汎用,Tamanegi/Brothel General Purpose,Tamanegi/Burdel propósito general.
menu_label__(L_00bc6),タマネギ／調教の館汎用,Tamanegi/Training House General Purpose,Tamanegi/Casa de formación propósito general.
menu_label__(L_00bd2),タマネギ／クビ,Tamanegi/Fired,Tamanegi/Disparado.
menu_label__(L_00bde),汎用／売春宿にて,General Purpose/At a brothel,Propósito general/En los burdeles
menu_label__(L_00bea),小春／ギャルバーガー目標,Koharu/Galburger Goal,Koharu/Galburger Objetivo.
menu_label__(L_00bf6),小春／ＥＰＬ,Koharu/EPL,Koharu/EPL
menu_label__(L_00c02),小春／ＧＡＬバーガー汎用,Koharu/GAL Burger General Purpose,Koharu/GAL Burger Propósito general
menu_label__(L_00d02),部下イベント１,Subordinate Event 1,Evento subordinado 1
menu_label__(L_00d18),部下イベント２,Subordinate Event 2,Evento subordinado 2.
menu_label__(L_00d2e),部下イベント３,Subordinate Event 3,Evento subordinado 3.
menu_label__(L_00d4e),部下イベント,subordinate event,evento subordinado
menu_label__(L_00d64),部下プレゼント,Subordinates Present,Subordinados presentes.
menu_label__(L_00d75),大杉／特訓,Oosugi/Training,Oosugi/Entrenamiento especial
menu_label__(L_00d81),大杉剛／登場０,Oosugi Tsuyoshi／appeared0,Oosugi Tsuyoshi/apareció0
menu_label__(L_00d92),大杉剛／登場１,Oosugi Tsuyoshi/appeared1,Oosugi Tsuyoshi/apareció1
menu_label__(L_00da3),大杉剛／登場２,Oosugi Tsuyoshi/appeared2,Oosugi Tsuyoshi/apareció2
menu_label__(L_00db4),大杉／つちのこ１,Oosugi/Tsuchinoko1,Oosugi/Tsuchinoko1
menu_label__(L_00dc0),大杉／つちのこ４,Oosugi/Tsuchinoko4,Oosugi/Tsuchinoko4
menu_label__(L_01124),岳画殺が来る,Takega Satsu is coming,Takega Satsu viene
menu_label__(L_01130),殺／死亡,Satsu/Deceased,Satsu/fallecido
menu_label__(L_0113c),部下イベント１,Subordinate Event 1,Evento subordinado 1
menu_label__(L_01152),部下イベント２,Subordinate Event 2,Evento subordinado 2.
menu_label__(L_0116d),部下イベント,subordinate event,evento subordinado
menu_label__(L_01183),部下エッチ,subordinate sex,sexo subordinado
menu_label__(L_01194),部下エッチ２,Subordinate sex 2,Sexo subordinado 2
menu_label__(L_011aa),部下プレゼント,Subordinates Present,Subordinados presentes.
menu_label__(L_011c0),部下調教の館行き,Go to the house of training of subordinates,Ir a la Casa de la Formación Subalterna
menu_label__(L_011d1),部下ＧＡＬバー行き,Go to subordinate GAL bar,Ir a la barra de GAL subordinada
menu_label__(L_011e2),殺ドキ１,Satsu Doki 1,Satsu doki 1
menu_label__(L_011ee),殺ドキ２,Satsu Doki 2,Satsu doki 2
menu_label__(L_011fa),殺一緒,Satsu together,Satsu juntos
menu_label__(L_01206),部下イベント／アイテム,Subordinate Events/Items,Eventos/artículos subordinados
menu_label__(L_00efc),次のページは嫁,Next page is the wife,La siguiente página es la esposa.
menu_label__(L_0122e),部下イベントＡ１,Subordinate Event A1,Evento subordinado A1
menu_label__(L_01244),部下イベントＡ２,Subordinate Event A2,Evento subordinado A2.
menu_label__(L_0125a),部下エッチＡ１,Subordinate sex A1,Sexo subordinado A1.
menu_label__(L_01270),部下エッチＡ２,Subordinate sex A2,Sexo subordinado A2.
menu_label__(L_0128b),部下エッチＡ３,Subordinate sex A3,Sexo subordinado A3.
menu_label__(L_012a6),部下プレゼント,Subordinates Present,Subordinados presentes.
menu_label__(L_012bc),殺／婚約者,Satsu/Fiancee,Satsu/Fiancee.
menu_label__(L_012c8),殺／悪司の愚痴,Complaints of Satsu/Akuji.,Satsu/Akuji quejas
menu_label__(L_012ea),殺／夜ばい,Satsu/Night Vai,Satsu/club nocturno
menu_label__(L_012f6),殺／新婚旅行,Satsu/Honeymoon,Satsu/Luna de miel
menu_label__(L_01302),殺／離婚,Satsu/Divorce,Satsu/divorcio
menu_label__(L_0130e),殺／接近１,Satsu/approaching1,Satsu/aproximación1
menu_label__(L_00ffe),次,next,siguiente
menu_label__(L_0131a),殺／接近２,Satsu/approaching2,Satsu/aproximaciones2
menu_label__(L_01326),殺／接近３,Satsu/approaching3,Satsu/aproximaciones3
menu_label__(L_01332),殺／誕生日,Satsu/Birthday,Satsu/Cumpleaños.
menu_label__(L_0133e),殺／試験勉強,Satsu/Study for examinations,Satsu/Estudiar para los exámenes
menu_label__(L_0134a),殺／プレゼント,Satsu/Present,Satsu/Presente.
menu_label__(L_01356),殺／エッチ成功,Satsu/sex success,Satsu/Sexo exitoso.
menu_label__(L_01362),殺／子供がほしい,Satsu/I want to have a child,Satsu/Quiero un hijo
menu_label__(L_0136e),殺／一発の説明,Satsu/Ippatsu's explanation.,La explicación de Satsu/Ippatsu.
menu_label__(L_0137a),殺／受験前,Satsu/Pre-examination,Satsu/Pre-examen
menu_label__(L_01386),殺／受験当日,Satsu/Day of examination,Satsu/Día del examen
menu_label__(L_01392),殺／ウィミィ帰り道,Satsu/Wime way home,Satsu/Wime Camino a casa
menu_label__(L_0139e),殺／汎用汎用１,Satsu/General Purpose General Purpose 1,Satsu/Propósito general Propósito general 1
menu_label__(L_013aa),殺／汎用汎用２,Satsu/General Purpose General Purpose 2,Satsu/Propósito general Propósito general 2
menu_label__(L_013b6),殺／カネシタ温泉,Satsu/Kaneshita Onsen,Satsu/Kaneshita Hot Springs
menu_label__(L_01712),山本一発イベントＡ,Yamamoto Ippatsu Event A,Yamamoto Ippatsu Evento A
menu_label__(L_0171e),山本一発イベントＢ１,Yamamoto Ippatsu EventB1,Yamamoto Ippatsu Evento B1
menu_label__(L_0172f),山本一発イベントＢ２,Yamamoto Ippatsu EventB2,Yamamoto Ippatsu Evento B2
menu_label__(L_01740),山本一発イベントＣ,Yamamoto Ippatsu EventC,Yamamoto Ippatsu Evento C
menu_label__(L_01751),山本一発イベントＣ２,Yamamoto Ippatsu EventC2,Yamamoto Ippatsu Evento C2
menu_label__(L_01762),山本一発イベントＤ,Yamamoto Ippatsu Event D,Yamamoto Ippatsu Evento D
menu_label__(L_0176e),山本一発イベントＥ,Yamamoto Ippatsu EventE,Yamamoto Ippatsu Evento E
menu_label__(L_0177a),山本一発イベントＦ,Yamamoto Ippatsu EventF,Yamamoto Ippatsu Evento F
menu_label__(L_01786),山本一発イベントＧ,Yamamoto Ippatsu EventG,Yamamoto Ippatsu Evento G
menu_label__(L_01792),山本一発イベントＨ,Yamamoto Ippatsu EventH,Yamamoto Ippatsu Evento H
menu_label__(L_014da),次,next,siguiente
menu_label__(L_0179e),ギガ／殺の決意,Giga/Satsu's resolution,Determinación Giga/Satsu.
menu_label__(L_017aa),ギガ／その１,Giga/Part 1,Giga/Parte 1.
menu_label__(L_017b6),ギガ／その２,Giga/No.2,Giga/Parte 2.
menu_label__(L_017c2),ギガ／その３,Giga/Part 3,Giga/Parte 3.
menu_label__(L_017ce),ギガ／要塞現る,Giga/Fortress appears,Aparece Giga/Fortress.
menu_label__(L_017da),ギガ／戦争１,Giga/War 1,Giga/Guerra 1.
menu_label__(L_017e6),ギガ／戦争２,Giga/War 2,Giga/Guerra 2.
menu_label__(L_017f2),ギガ／戦争３,Giga/War 3,Giga/Guerra 3.
menu_label__(L_017fe),ギガ／戦争４,Giga/War 4,Giga/Guerra 4.
menu_label__(L_0180a),ギガ／戦争５＿００,Giga/War 5 00,Giga/Guerra 5 00.
menu_label__(L_0181b),ギガ／戦争５＿０１,Giga/War 5 01,Giga/Guerra 5 01.
menu_label__(L_015d2),次,next,siguiente
menu_label__(L_0182c),ギガ／戦争５＿０２,Giga/War 5 02,Giga/Guerra 5 02.
menu_label__(L_0183d),ギガ／戦争０汎用,Giga/War 0 General purpose,Giga/Guerra 0 Propósito general.
menu_label__(L_01849),ギガ／陸奥不明,Giga/Mutsu unknown,Giga/Mutsu desconocido.
menu_label__(L_01855),ギガ／ベラドンナ不明,Giga/Belladonna unknown,Giga/Belladonna desconocido.
menu_label__(L_01861),ギガ／ミドリガオカ,Giga/Midorigaoka,Giga/Midorigaoka.
menu_label__(L_0186d),ギガ／ギガフロート,Giga/Giga-Float,Giga/giga-float
menu_label__(L_01879),ギガ悪／一発と分かる,Giga Evil/Ippatsu can be identified as Ippatsu.,Giga Evil/Ippatsu puede ser identificado como Ippatsu.
menu_label__(L_01885),ギガ悪／ナンコウ奪回,Giga Evil/Nanko Recovery,Giga evil/Nanko recapture
menu_label__(L_01891),ギガ悪／ギガ征服,Giga-evil/giga-conquest,Giga-maldad/giga-conquista
menu_label__(L_0189d),一発／遅刻ペンギン１,Ippatsu/Late Penguin1,Ippatsu/Pingüino tardío1
menu_label__(L_018a9),一発／遅刻ペンギン２,Ippatsu/Late Penguin 2,Ippatsu/Pingüino tardío 2
menu_label__(L_018b5),山本一発イベントＡ／殺,Yamamoto Ippatsu Event A/Satsu,Yamamoto Ippatsu Event A/Satsu
menu_label__(L_01b27),森田愛調教,Morita Love Training,Morita Entrenamiento de amor
menu_label__(L_01b33),部下イベント／病院,Subordinate Events/Hospitals,Eventos subordinados/hospitales
menu_label__(L_01b46),捕虜始めて,War Prisoner,Prisionero de guerra
menu_label__(L_01b54),捕虜汎用,POW General Purpose,POW propósito general
menu_label__(L_01b62),捕虜スカウト,POW scout,Explorador POW
menu_label__(L_01b7a),森田愛／戦争前,Morita love/before the war,Morita Amor/Preguerra
menu_label__(L_01b86),森田愛／戦争中,Morita Love/At war,Morita Amor/en guerra
menu_label__(L_01b92),森田愛／ハニワの声が,Morita Love/Haniwa's voice.,Morita Amor/voz de Haniwa.
menu_label__(L_01b9e),森田愛／失踪,Morita love/disappearance,Morita Amor/desaparición
menu_label__(L_01baa),森田愛／ハニワ儀式　１０,Morita Love/Haniwa Ritual 10,Morita Ritual del amor/Haniwa 10
menu_label__(L_01bbb),森田愛／ハニワ儀式　２,Morita Love/Haniwa Ritual 2,Morita Ritual del amor/Haniwa 2
menu_label__(L_01bcc),森田愛／ハニワ儀式　両方,Morita Love/Haniwa Ritual Both,Morita Ritual de amor/Haniwa Ambos
menu_label__(L_01bdd),森田愛／調教の館から逃げる,Morita love/flee from the house of training,Amor de Morita/Escapando de la Casa de la Formación
menu_label__(L_01be9),森田／ヤクザ足りない,Morita/Yakuza not enough,Morita/Yakuza no es suficiente
menu_label__(L_01a21),次,next,siguiente
menu_label__(L_01bf5),部下イベント１,Subordinate Event 1,Evento subordinado 1
menu_label__(L_01c06),部下イベント,subordinate event,evento subordinado
menu_label__(L_01c21),捕虜スカウト愛欲,POW Scout Lust,Lujuria de los exploradores POW
menu_label__(L_01c37),部下エッチ愛欲,Subordinate sex lust,Lujuria sexual subordinada
menu_label__(L_01c6d),部下エッチ,subordinate sex,sexo subordinado
menu_label__(L_01ca2),捕虜愛欲１,POW Lust 1,POW lust 1.
menu_label__(L_01cb8),捕虜愛欲,POW,POW
menu_label__(L_01cce),部下イベント２,Subordinate Event 2,Evento subordinado 2.
menu_label__(L_01cee),森田／戦闘会話,Morita/Combat Conversation,Morita/Conversaciones de combate.
menu_label__(L_01cfa),森田／戦闘会話／蘭,Morita/Combat Conversations/Ran,Morita/Conversaciones de combate/Ran.
menu_label__(L_01d06),森田／戦闘会話／太郎,Morita/Combat Conversation/Tarou,Morita/Conversaciones de combate/Tarou.
menu_label__(L_01d12),森田愛／ＥＰＬ,Morita Love/EPL,Morita Amor/EPL
menu_label__(L_01e4e),部下イベント汎用,Subordinate Event Generic,Evento subordinado genérico
menu_label__(L_01e64),部下イベント１,Subordinate Event 1,Evento subordinado 1
menu_label__(L_01e7a),部下イベント２,Subordinate Event 2,Evento subordinado 2.
menu_label__(L_01e9a),部下イベント３,Subordinate Event 3,Evento subordinado 3.
menu_label__(L_01eba),部下イベント４,Subordinate Event 4,Evento subordinado 4.
menu_label__(L_01eda),加古未来／食い過ぎ死亡,Kako Mirai/Death from overeating,Kako Mirai/murió por comer en exceso
menu_label__(L_01ee6),加古未来／調教,Kako Mirai/Training,Kako Mirai/Training
menu_label__(L_01ef2),部下エッチＭＡＸ,Subordinate sex max.,Sexo subordinado máx.
menu_label__(L_01f16),部下エッチ,subordinate sex,sexo subordinado
menu_label__(L_01f39),部下プレゼント,Subordinates Present,Subordinados presentes.
menu_label__(L_01f4a),加古未来／ＥＰＬ,Kako Mirai/EPL,Kako Mirai/EPL
menu_label__(L_01f56),加古未来／戦闘会話,Kako Mirai/Combat Conversations,Kako Mirai/Conversaciones de combate
menu_label__(L_01f62),加古未来／くりりぷ,Kako Mirai/Kuriripu,Kako Mirai/Kuriripu
menu_label__(L_02114),衣笠智子イベントＢ,Kinugasa TomokoEvent B,Kinugasa TomokoEvento B
menu_label__(L_02120),部下エッチ／特殊,Subordinate sex/special,Sexo subordinado/especial
menu_label__(L_02136),部下イベント／タマネギ,Subordinate Events/Tamanegi .,Eventos subordinados/Tamanegi.
menu_label__(L_02151),部下イベント／濡れた,Subordinate Events/Wet,Evento subordinado/húmedo.
menu_label__(L_0216c),部下イベント／誕生日,Subordinate Event/Birthday,Eventos subordinados/cumpleaños
menu_label__(L_02187),衣笠智子／一人の誕生日,Kinugasa Tomoko/One Birthday,Kinugasa Tomoko/El cumpleaños de uno
menu_label__(L_02193),衣笠智子／調教,Kinugasa Tomoko/Training,Kinugasa Tomoko/Formación
menu_label__(L_0219f),衣笠智子／売春,Kinugasa Tomoko/prostitution,Kinugasa Tomoko/prostitución
menu_label__(L_021ab),衣笠／誕生日近し,Kinugasa/Birthday coming up,Kinugasa/Se acerca el cumpleaños
menu_label__(L_021b7),衣笠／何も無し,Kinugasa/Nothing,Kinugasa/Nada
menu_label__(L_021c3),衣笠／妊娠,Kinugasa/Pregnancy,Kinugasa/Embarazo
menu_label__(L_021cf),衣笠／水子,Kinugasa/Mizuko,Kinugasa/Mizuko
menu_label__(L_0209c),次,next,siguiente
menu_label__(L_021db),部下イベント,subordinate event,evento subordinado
menu_label__(L_021f1),部下エッチ,subordinate sex,sexo subordinado
menu_label__(L_02207),部下プレゼント,Subordinates Present,Subordinados presentes.
menu_label__(L_02218),衣笠／寂しい,Kinugasa/Lonely,Kinugasa/solo
menu_label__(L_02224),衣笠智子／ＥＰＬ,Kinugasa Tomoko/EPL,Kinugasa Tomoko/EPL
menu_label__(L_02750),多田山一途イベントＡ,Tadayama IchizuEvent A,Tadayama IchizuEvento A
menu_label__(L_0275c),部下イベント１,Subordinate Event 1,Evento subordinado 1
menu_label__(L_0276f),部下イベント２,Subordinate Event 2,Evento subordinado 2.
menu_label__(L_02787),部下イベント３,Subordinate Event 3,Evento subordinado 3.
menu_label__(L_0279f),部下イベント４,Subordinate Event 4,Evento subordinado 4.
menu_label__(L_027b7),部下イベント５,Subordinate Event 5,Evento subordinado 5.
menu_label__(L_027cf),部下イベント,subordinate event,evento subordinado
menu_label__(L_027e7),部下プレゼント,Subordinates Present,Subordinados presentes.
menu_label__(L_027f5),多田山一途／青葉,Tadayama Ichizu/Aoba,Tadayama Ichizu/Aoba
menu_label__(L_02801),多田山一途／加古,Tadayama Ichizu/Kako,Tadayama Ichizu/Kako
menu_label__(L_0280d),多田山一途／衣笠,Tadayama Ichizu/Kinugasa,Tadayama Ichizu/Kinugasa
menu_label__(L_02819),多田山一途／岳画,Tadayama Ichizu/Takega,Tadayama Ichizu/Takega
menu_label__(L_02825),多田山一途／神原,Tadayama Ichizu/Kanbara,Tadayama Ichizu/Kanbara
menu_label__(L_02831),多田山一途／森田,Tadayama Ichizu/Morita,Tadayama Ichizu/Morita
menu_label__(L_0283d),多田山一途／辻家,Tadayama Ichizu/Tsujiya,Tadayama Ichizu/Tsujiya
menu_label__(L_02390),次,next,siguiente
menu_label__(L_02849),多田山一途／市橋,Tadayama Ichizu/Ichihashi,Tadayama Ichizu/Ichihashi
menu_label__(L_02855),多田山一途／加賀,Tadayama Ichizu/Kaga,Tadayama Ichizu/Kaga
menu_label__(L_02861),多田山一途／森,Tadayama Ichizu/Mori,Tadayama Ichizu/Mori
menu_label__(L_0286d),多田山一途／山沢,Tadayama Ichizu/Yamazawa,Tadayama Ichizu/Yamazawa
menu_label__(L_02879),多田山一途／由女,Tadayama Ichizu/Yume,Tadayama Ichizu/Yume
menu_label__(L_02885),多田山一途／古宮,Tadayama Ichizu/Komiya,Tadayama Ichizu/Komiya
menu_label__(L_02891),多田山一途／月瀬,Tadayama Ichizu/Tsukigase,Tadayama Ichizu/Tsukigase
menu_label__(L_0289d),多田山一途／土岐,Tadayama Ichizu／Toki,Tadayama Ichizu/Toki
menu_label__(L_028a9),多田山一途／支倉アエン,Tadayama Ichizu/Hasekura Aen,Tadayama Ichizu/Hasekura Aen
menu_label__(L_028b5),多田山一途／支倉キリカ,Tadayama Ichizu/Hasekura Kirika,Tadayama Ichizu/Hasekura Kirika
menu_label__(L_028c1),多田山一途／キャット,Tadayama Ichizu/kyatto,Tadayama Ichizu/kyatto
menu_label__(L_028cd),多田山一途／春風,Tadayama Ichizu/Harukaze,Tadayama Ichizu/Harukaze
menu_label__(L_028d9),多田山一途／佐々木,Tadayama Ichizu/Sasaki,Tadayama Ichizu/Sasaki
menu_label__(L_028e5),多田山一途／天界,Tadayama Ichizu/Tenkai,Tadayama Ichizu/Tenkai
menu_label__(L_028f1),多田山一途／山林,Tadayama Ichizu/Sanrin,Tadayama Ichizu/Sanrin
menu_label__(L_0250c),次,next,siguiente
menu_label__(L_028fd),多田山一途／カリコリルリ,Tadayama Ichizu/Carikoriluri,Tadayama Ichizu/Carikoriluri .
menu_label__(L_02909),多田山一途／乃木,Tadayama Ichizu/Nogi,Tadayama Ichizu/Nogi
menu_label__(L_02915),多田山／紹介,Tadayama/Introduction,Tadayama/Introducción.
menu_label__(L_02921),多田山一途／筒井,Tadayama Ichizu/Tsutsui,Tadayama Ichizu/Tsutsui
menu_label__(L_0292d),多田山一途／炎,Tadayama Ichizu/Honoo,Tadayama Ichizu/Honoo
menu_label__(L_02939),多田山一途／不動,Tadayama Ichizu/Fudou,Tadayama Ichizu/Fudou
menu_label__(L_02945),多田山一途／野山,Tadayama Ichizu/Noyama,Tadayama Ichizu/Noyama
menu_label__(L_02951),多田山一途／白,Tadayama Ichizu/Haku,Tadayama Ichizu/Haku
menu_label__(L_0295d),多田山一途／アンリ,Tadayama Ichizu/Henri,Tadayama Ichizu/Henri
menu_label__(L_025f6),次,next,siguiente
menu_label__(L_02969),多田山一途／プリシラ,Tadayama Ichizu/Priscilla,Tadayama Ichizu/Priscilla
menu_label__(L_02975),多田山一途／相馬,Tadayama Ichizu/Souma,Tadayama Ichizu/Souma
menu_label__(L_02981),多田山一途／セヤダタラ,Tadayama Ichizu/Seyadatara,Tadayama Ichizu/Seyadatara
menu_label__(L_0298d),多田山一途／陸奥,Tadayama Ichizu/Mutsu,Tadayama Ichizu/Mutsu
