character,jap text,Eng,Esp
cg narrator,"志津は自分の前を通り過ぎようとした男に そう言って、足を広げた。
「そうそう、その調子……」
志津の後ろの物陰から、千手が言う。
「団子…買って下さい……」
志津は消え入りそうな声で、男に言う。
「えっ…あっ…あの……」
志津に声をかけられた男は、まず、視線をどこに 合わせていいのか、戸惑った。
志津の白い下着は、蜜に濡れ、その薄い茂みの 向こうまで見えそうなぐらいだった。
心成しかその薄い布がぴくぴくと蠢いているようにも 見える。
「そっ…そんな……お団子を…… 　買っ……て……」
「お願い…します…買って下さい……」
もう、何本か売れたのだろう。 志津の座っている前の籠には、いくらかのお金が 入っていた。
それが純粋にただの「団子代」かどうかは、 わからないが。
「お願い……買って……」
志津は甘い、小さく可憐な声で、男に哀願し続ける。
「っ……そっ……その… 　いくら…だい？」
男はちらちらと志津の姿を盗み見ながら、 財布に手をかけた。
「っ…こっ……これかっ……ら…」
志津の声は涙声だった。
「これから……わたしのする事で… 　お客様が満足したお金を… 　そこに入れて下さい……」
志津はそう言ってから団子を布に当てた。
「んっ……」
布の上から団子を花弁に擦りつけ、 ゆっくりと腰を振る。
「んっ…あっ…えっ…？」
志津の行動に驚いた男は、それでも志津の行為から 目を離す事は出来ず、とうとう志津を凝視する事に なった。
「あっ…んんっ…」
男の視線を感じる志津。 その感覚が、さらに自分の躰の奥から蜜を生む。
「あっ…んんっ……」
すぐに布の向こうから染み出た蜜が、 団子に絡まった。
その団子と客を交互に見る志津。 客である男は、志津のそこを凝視していた。
「あっ……！」
志津の頬がさらに紅潮する。 それに合わせて、布の向こうから生まれる 蜜の量が増えた。
「っ……あっ……あのっ……」
「ななな、なんだい？」
「お客様も……蜜を……おつけになりますか……？」
志津は、団子の串を持つ震える手を 男の方に向けた。
「そ、それを俺にしろっていうの？」
「っ……はっ……はい……」
志津は震える声で肯定する。
「っん……ごくっ……」
男もまた、震える手で志津の手から 串を受け取った。 目はもう、志津の布の奥を想像し、充血している。
「うっ……」
男の目線に志津が反応し、 更に躰の奥を熱くさせる。
「あっ……あっ…！」
団子の串を持つ男の手が、ゆっくり志津の そこに宛われ、擦られていく。
「あっ……あんっ……」
志津は自分の躰の奥から生まれる嫌悪感と快楽と、 相反した感覚に、頭を熱くさせる。
「すっ……すごいね…もう、団子がトロトロだ…」
「いっ…いやっ…そんな事…言わないで……」
「そう言って…こ、ここ… 　気持ちいいんでしょ？ 　こんなにしちゃって…」
男は志津が無抵抗な事に少し調子づき、 言葉で志津をなじり始めた。
そして、男の手が素早く動き出す。 団子でかするように、志津のそこを愛撫する。
「あっ、あっ…あっ……」
志津の、軽く浮かした腰がぴくぴくと震え出す。
「か、可愛いね…… 　こんなになっちゃって…」
そう言いながら、男の手は止まらない。
「うっ……あっ…あっ……」
志津は自分から腰をその団子の動きに合わせる。
「ああ…もったいない…零れちゃってるよ…」
男はそう言って、志津の股間に顔を寄せた。
「あっ……あ！」
男の舌が布越しに、志津の花弁の上を這う。
「いっ…いやっ…あっ…」
「もっと出してよ…ぼくが、すすってあげるから…」
男はそう言って、舌を大きく平らに広げ、 花弁に押し当てる。
「あっ…ああっ…！」
志津は男の声に従って、躰の奥から蜜を滴らせた。
「あっ…凄い……凄いよ… 　こんなに……」
男はそう言って、じゅぶじゅぶと音をたて、 志津の下着を吸う。
「いやっ…あっ…んっ……」
「あ…こんなところから串の先が出ているぞ…」
男はそう言って、布の上から志津のクリトリスに 歯をたてた。
「あっ……あううっ…！！」
志津の腰が一際大きく震える。
「ここがいいの？」
「あっ…ああっ……」
「へっ……へへへへっ……」
男はいやらしい笑い声をあげると、 そこを再び強く噛んだ。
「あっ……ああっ…あーーっ……！！」
志津はさらに大きく腰を震わせた。","Shizu said to the man who was about to pass by him and spread his legs.
「Oh yeah, that's how it goes……」
Senju says from behind the things behind Shizu.
「Dango… Please buy it……」
Shizu said to the man in a voice that was about to disappear.
「E~…a~…ano……」
When Shizu called out to him, the man was confused as to where to look at him first.
Shizu's white underwear was soaked in nectar that it seemed to be visible beyond the thin bushes.
It appears that only Kosei is twitching and wriggling.
「Well… that…… I bought…… a bun……」
「Please… Please… buy it…」
I guess a few have already sold. There was some money in the basket in front of Shizu sitting there.
I don't know if it's just a “damago“ or not.
「Please…… buy it……」
Shizu continues to plead with a sweet, small, lovely voice.
「Oh…… I see…… How much… is… it?」
The man stolen Shizu's sight, peering over his hand on his wallet.
「Ah… this…… is this……?」
Shizu's voice was tears.
「From now on…… what I do… 　Please put the money that the customer is satisfied with… 　there……」
Shizu said that before placing the dumplings on the cloth.
「Hmm……」
Rub the dumplings against the petals from the top of the cloth and slowly shake your hips.
「N~…a~…e~…？」
The man, surprised by Shizu's actions, still couldn't take his eyes off Shizu's actions, and finally ended up staring at Shizu.
「A~…nn~…」
Shizu feels the man's gaze. That feeling creates honey from deep inside your body.
「A~…nn~……」
Soon, the honey that had soaked through the fabric, entangled in the dumplings.
Shizu alternates between the dumplings and the customers. The customer was staring at the Shizu.
「A~……！」
Shizu's cheeks flushed even more. In line with this, the amount of nectar that came from beyond the fabric increased.
「~……A~……ano~……」
「Nanana, what's it?」
「Can you also…she will have some honey…?」
Shizu pointed his trembling hand holding the dumpling skewer towards the man.
「Oh, are you saying you should do that for me?」
「~……Ha~……hai……」
Shizu affirms in a trembling voice.
「~N……goku~……」
The man also received the skewers from Shizu's hand with his trembling hands. His eyes were bloodshot, imagining the depths of Shizu's fabric.
「U~……」
Shizu reacts to the man's gaze, further encouraging the deeper part of his body.
「A~……a~…！」
The man's hand holding the dumpling skewer slowly is addressed to Shizu's place and rubbed.
「A~……an~……」
Shizu's mind heats up with the disgust and pleasure that arises from deep within her body, and the opposing sensations.
「Wow…… that's amazing… The dumplings are already soaking…」
「No… don't… say that…」
「Say that… It feels good, isn't it? I've done this much…」
The man began to get a little more at Shizu's resistance and began to sway Shizu with words.
And the man's hands started moving quickly. Caressing the part of Shizu, just like a dumpling.
「A~、a~…a~……」
Shizu's lightly raised hips twitch and twitch.
「Oh, it's so cute…… 　I'm sorry it's come to this.…」
As he said that, the man's hands didn't stop.
「U~……a~…a~……」
Shizu adjusts his hips to the movements of the dumplings.
「Ah… it's a waste… it's falling apart…」
The man said, leaning his face against Shizu's crotch.
「Ah…… ah!」
The man's tongue crawled over the petals of Shizu through the cloth.
「I~…iya~…a~…」
「Please give me more… I'll sip it for you…」
The man said, spreading his tongue wide and flat, pressing it against the petals.
「A~…aa~…！」
Shizu followed the man's voice and dripped honey from the back of his body.
「Ah… amazing…… so amazing… 　so much……」
The man said, making a sigh sound and sucking on Shizu's underwear.
「Iya~…a~…n~……」
「Ah… the tip of the skewer is coming out from here…」
The man said, clasping his teeth on Shizu's clitoris from the top of the cloth.
「A~……auu~…！！」
Shizu's waist trembles out loud.
「Is this good?」
「A~…aa~……」
「He~……hehehehe~……」
The man let out a lewd laugh and bit him hard again.
「A~……aa~…aaa~……！！」
Shizu's hips tremble even bigger.","Shizu le dijo al hombre que estaba a punto de pasar junto a él y extendió las piernas.
「Oh sí, así es como va……」
Senju dice desde atrás las cosas detrás de Shizu.
「Dango… por favor cómpralo……」
Shizu le dijo al hombre con una voz que estaba a punto de desaparecer.
「E~…a~…ano……」
Cuando Shizu lo llamó, el hombre estaba confundido sobre dónde mirarlo primero.
La ropa interior blanca de Shizu estaba empapada en néctar de que parecía ser visible más allá de los delgados arbustos.
Parece que solo Kosei se está sacudiendo y retorciendo.
「Bueno… que…… compré…… un bollo……」
「Por favor… por favor… cómpralo…」
Supongo que algunos ya se han vendido. Había algo de dinero en la canasta frente a Shizu sentado allí.
No sé si es solo un “damago“ o no.
「Por favor…… cómpralo……」
Shizu continúa suplicando con una voz dulce, pequeña y encantadora.
「Oh…… ya veo…… ¿cuánto… es?」
El hombre robó la vista de Shizu, mirando su mano sobre su billetera.
「Ah… ¿esto… esto es…?」
La voz de Shizu era lágrimas.
「De ahora en adelante…… lo que hago… 　por favor pon el dinero con el que el cliente está satisfecho… 　ahí……」
Shizu dijo que antes de colocar las albóndigas en la tela.
「Mmm……」
Frote las albóndigas contra los pétalos desde la parte superior de la tela y sacude lentamente las caderas.
「N~…a~…e~…？」
El hombre, sorprendido por las acciones de Shizu, todavía no podía quitarle los ojos de las acciones de Shizu, y finalmente terminó mirando a Shizu.
「A~…nn~…」
Shizu siente la mirada del hombre. Ese sentimiento crea miel desde el fondo de tu cuerpo.
「A~…nn~……」
Pronto, la miel que había empapado la tela, enredada en las albóndigas.
Shizu alterna entre las albóndigas y los clientes. El cliente estaba mirando al Shizu.
「A~……！」
Las mejillas de Shizu se sonrojaban aún más. En línea con esto, aumentó la cantidad de néctar que vino más allá de la tela.
「~……A~……ano~……」
「Nanana, ¿qué es?」
「¿Puedes también … ella tendrá algo de miel …?」
Shizu apuntó con su mano temblorosa sosteniendo la brocheta de bola de masa hacia el hombre.
「Oh, ¿estás diciendo que deberías hacer eso por mí?」
「~……Ha~……hai……」
Shizu afirma con voz temblorosa.
「~N……goku~……」
El hombre también recibió las brochetas de la mano de Shizu con sus manos temblorosas. Sus ojos estaban inyectados en sangre, imaginando las profundidades de la tela de Shizu.
「U~……」
Shizu reacciona a la mirada del hombre, alentando aún más la parte más profunda de su cuerpo.
「A~……a~…！」
La mano del hombre que sostiene la brocheta de la bola de bolos se dirige lentamente al lugar de Shizu y se frota.
「A~……an~……」
La mente de Shizu se calienta con el asco y el placer que surge de las profundidades de su cuerpo y las sensaciones opuestas.
「Wow…… eso es increíble… las albóndigas ya están empapadas…」
「No… no… digas eso…」
「Di que… se siente bien, ¿no? He hecho todo esto…」
El hombre comenzó a obtener un poco más en la resistencia de Shizu y comenzó a influir en Shizu con palabras.
Y las manos del hombre comenzaron a moverse rápidamente. Acariciando la parte de Shizu, al igual que una bola de masa.
「A~、a~…a~……」
Las caderas ligeramente elevadas de Shizu se contraen y se contraen.
「Oh, es tan lindo…… 　Siento haber llegado a esto.…」
Como él dijo eso, las manos del hombre no se detuvieron.
「U~……a~…a~……」
Shizu ajusta sus caderas a los movimientos de las albóndigas.
「Ah… es un desperdicio… se está desmoronando…」
Dijo el hombre, inclinando su rostro contra la entrepierna de Shizu.
「Ah…… ¡Ah!」
La lengua del hombre se arrastró sobre los pétalos de Shizu a través de la tela.
「I~…iya~…a~…」
「Por favor dame más… lo tomaré por ti…」
Dijo el hombre, extendiendo la lengua ancha y plana, presionándola contra los pétalos.
「A~…aa~…！」
Shizu siguió la voz del hombre y goteó la miel desde la parte posterior de su cuerpo.
「Ah… asombroso…… tan asombroso… 　tanto……」
Dijo el hombre, haciendo un sonido de suspiro y chupando la ropa interior de Shizu.
「Iya~…a~…n~……」
「Ah… la punta de la brocheta sale de aquí…」
Dijo el hombre, apretando los dientes en el clítoris de Shizu desde la parte superior de la tela.
「A~……auu~…！！」
La cintura de Shizu temblora en voz alta.
「¿Es esto bueno?」
「A~…aa~……」
「He~……hehehehe~……」
El hombre dejó escapar una risa lasciva y lo mordió duro nuevamente.
「A~……aa~…aaa~……！！」
Las caderas de Shizu temblan aún más."
__system__??,{CG_MODE = 1:,,
__system__??,},,
Ishihara Senju (talking),んー、まずまずだったかな？,"Hmmm, was it bad?","Hmm, ¿estuvo mal?"
Tanzawa Shizu (talking),……………,……………,……………
Ishihara Senju (talking),ご褒美にケーキ買ってあげようか？ バタークリームの。,I'll buy you a cake as a reward? Of buttercream.,¿Puedo comprarte un pastel como recompensa? De crema de mantequilla.
Tanzawa Shizu (talking),"いっ……
いらない……ケーキなんか… ケーキなんか…もう……
うっ…うう……","I don't want ……
I don't want…… cake… cake… anymore……
Ugh… ugh……","Yo no ……
No quiero…… más tarta… más tarta… más ……
Ugh… ugh……"
Tanzawa Shizu (thinking),"伊織……おにーちゃん…… 志津…志津…こんなになっちゃった…
もう……おにーちゃんの お嫁さんになれないよ…","Iori…… Onii-chan…… Shizu… Shizu… so much! …
I can't be…… your wife anymore…","Iori…… Onii-chan…… Shizu… Shizu… ¡tanto! …
Ya no puedo ser la esposa de…… Onii-chan…"
Chinpira (talking),"これは、シーさん、お見限りで。
え、わざわざそんなトコまで。 そりゃー、志津ちゃん喜びますよ。
はい、志津ちゃんご指名、 はりきっていきましょー！ ハッスル、ハッスル~~！","This, Mr. Shea, is for your information only.
You went all the way to that place. Well, Shizu will be very pleased.
Yes, Shizu-chan is our guest of honor, let's get on with it! Hustle, hustle~!","Esto, Sr. Cee, es para su lectura.
 ¿Qué, fuiste hasta ese lugar? Bueno, Shizu estará encantada.
Sí, Shizu-chan está a su servicio, ¡continuemos! ¡Apúrate, apúrate!"
cg narrator,"「それぐらいでいいかな…志津ちゃん、 　いつ見ても器用だねー。 　アソコの濡れ方、調節できるなんてさー」
 「さあ、入れてあげるよ。 　力抜いて…そう…そう……」
 「あっ……」
 「そのまま、じっとして…」
 「あっ…ああっ……！」","I think that's enough…Shizu-chan, you are always so dexterous. 　You can control how wet your pussy gets.
 “Come on, I'll put it in. 　Relax… so… so ……
Oh, ……
Hold still…
Oh… oh ……!","'Creo que es suficiente… Shizu, siempre eres tan hábil. 　Puedes controlar la humedad de tu coño.
 'Vamos, lo pondré. 　Relájate… tan… tan ……
Oh, …….
No te muevas, no te muevas…
Ah… ah… ah… ……!"
cg narrator,"シーさんの持っているバイブがゆっくり、 志津の中に入りこむ。
「そら…全部入った……」
「あっ…ああ……」
志津は震えてそれを甘受する。
「これね、志津ちゃんの為に、わざわざナゴヤまで 　行って買ってきた、最新式のバイブなんだよ」
シーさんはゆっくり２度、 まだスイッチの入っていないバイブを出し入れした。
「あっ…くっ…」
「これぐらいでも感じる？ 　志津ちゃんみたいな上級娼婦には、このぐらいの 　太さだったらもの足りないと思ったんだけど」
「くっ…んっ………」
志津は涙をうっすらと浮かべ、首を左右に振る。
「凄いねー、志津ちゃんはどんなに多くのちん×ん 　咥えこんでも、ここの筋力が落ちないのかね」
シーさんはそう言って、またバイブを出し入れした。
「あっ…！！」
「知ってる？ 　ナゴヤって、これ作るの、ニホン１なんだって。 　それ聞いてね、工場まで足伸ばしたんだ」
シーさんはバイブのスイッチを手に取った。
「新発売される前のサンプルって事でさ。 　タダにしてくれたんだ。 　優しい人達だろ？」
ゆっくり、バイブのスイッチが入れられる。
「あっ…！！」
志津の腰がぴくりと浮いた。
「こんな微弱な振動でも感じてるの？ 　志津ちゃん、可愛いねー」
シーさんの手が、志津の乳房に伸びる。
「あっ…んっ……」
「志津ちゃんさー、僕のも洗ってくれる？ 　せっかく、風呂入ってるんだし」
「っ……は…はい……」
志津は、シーさんの躰におずおずと 手を伸ばす。
ポンプから出した液体を掌で擦り合わせ、 泡をたっぷりとたてた。
その手を、シーさんのぐんにゃりとした 一物に伸ばす。
「これが役にたつんだったら、これでたっぷり 　志津ちゃんを可愛がってあげれたのにねー… 　洗ってもらうぐらいしか…出来ないからなー…」
シーさんはそう言うと、バイブの振動を 少し強くした。
「あっ…ああっ…！」
その振動が志津を刺激し、声をあげさせる。
「あくっ…んっ…んんっ…」
ぴくぴくと浮いてしまう腰を抑え、 志津は固くなる事のないそれを 泡と掌で愛撫する。
「気持ちいいよ…志津ちゃん……」
さらにバイブの振動を強くする。
「あっ……くあっ…ぁ！」
雷に撃たれたように、 志津の腰が大きくグラインドする。
それでも志津は、シーさんのぐんにゃりしたものを 強く掴む事なく耐え、ゆっくり手を動かした。
「健気だね、志津ちゃん…ゾクゾクするよ… 　そのまま続けてくれるかい？」
「っ…は…いっ…あっ……んんっ…！」
志津は、どんどん震えを大きくしている手で シーさんの一物を洗う。
シーさんはそんな志津を見ながら、 腰をそう動かすようにバイブを志津の花弁に 擦りつけ始めた。
「あっ…ぁっ…！」
志津はそれに合わせ、腰を揺らしながら シーさんの一物を手にする。
志津の中にバイブが深く沈められた。
「あっ…うああっ…！」
太さはそれ程ないが、長さのあるそれが、 志津の子宮の壁に届く。
「あっ、あっ…っ！」
感じる事の出来る女の性器すべてで バイブの振動を味わう志津。
志津は力が入らなくなってきてしまい、 とうとう、シーさんの股間に顔を埋めてしまった。
「どうしたの、志津ちゃん。 　気持ちいい顔、僕に見せながら、 　奉仕してよ」
シーさんは言葉ではそう言いながら、さらに素早く バイブをピストンさせた。
「んぁっ、あぅっ…ぁ！」
志津の腰がさらにグラインドし、 ふにゃふにゃの一物に頬を擦りつける。
「ああ…残念だな…その可愛らしい頬で 　愛撫されてるっていうのに、僕のはちっとも 　固くならない…」
「戦争に行って、こんな躰になってしまったけど… 　戦争があったから、こうやってここで志津ちゃんに 　こうして貰っている…」
「……人生って、皮肉だね… 　志津ちゃん…」
暗い物言いとは反対に、執拗に、激しく、 バイブで志津の花弁を、膣を、子宮を責め続ける。
「うあ、あ、あ！」
その快楽に夢中になりながらも、 志津はシーさんのものを泡で懸命に 愛撫し続けている。
「顔をあげて… 　いつものように、君が達するとこを見せてくれよ、 　志津ちゃん……」
シーさんの手が、志津の顎にかかる。
「あっ……！」
志津は金魚のように口をパクパクと動かし、 唇の端に涎を垂らしていた。
「綺麗だよ…志津ちゃん……」
シーさんの右手は激しくピストンを続け、 バイブのスイッチは最強にされた。
「あ！！　あ、あ！　あっ……！！ 　しっ…シーさっ…あっ……！！」
志津は大きく何度も何度も躰を震わせ、 シーさんの躰を抱きしめた。","The vibrator that Shi holds slowly enters Shizu.
「Well… it's all in……」
「A~…aa……」
Shizu trembles and accepts it.
「This is the latest vibrator I went to Nagoya to buy for Shizu-chan.」
Shi slowly put in and take out the vibrator that had not yet been switched on twice.
「A~…ku~…」
「Do you feel this much? I thought that a senior prostitute like Shizu would not be enough if it was this thick.」
「Ku~…n~………」
Shizu faintly cried and shook his head from side to side.
「That's amazing, Shizu-chan has so many dicks, no matter how many of her cocks she sucks, does she not lose her strength here?」
She said, then took the vibrator in and out again.
「A~…！！」
「Do you know? Nagoya is the number one Japanese person who makes this. Listen to that, I went to the factory.」
Shi picked up the vibrator switch.
「It's a sample before it's released. They gave it for free. Are you kind people?」
The vibrator can be switched slowly.
「A~…！！」
Shizu's waist twitched.
「Do you feel such a faint vibration? Shizu-chan is so cute」
Shi's hands stretch out into Shizu's breasts.
「A~…n~……」
「Shizu-chan, will you wash me too? I've been taking a bath for a while」
「~……Ha…hai……」
Shizu timidly reaches out to Shi's body.
The liquid was poured out from the pump and rubbed it with my palms, creating plenty of foam.
He stretches his hand into Shi's slender, slender thing.
「If this was useful, I could have loved Shizu-chan for a lot… but I can only do it because I'm going to have him wash it…」
She said, making the vibrator vibrating a little stronger.
「A~…aa~…！」
The vibration stimulates Shizu and makes him scream.
「Aku~…n~…nn~…」
Suppressing her twitching hips, Shizu caressings it, which never stiffens with foam and palm.
「It feels good… Shizu-chan……」
It also strengthens the vibrator's vibration.
「A~……kua~…ah！」
Shizu's waist grinds sharply, like he's been hit by lightning.
Still, Shizu endured Shi's slurp without holding her tightly at her, moving her hands slowly.
「You're brave, Shizu… it's thrilling… 　Can you continue like that?」
「~…Ha…i~…a~……nn~…！」
Shizu washes Shi's items with his hands, which are making his trembling more and more.
As Shi looked at Shizu, she began rubbing the vibrator against Shizu's petals, moving her hips.
「A~…ah~…！」
Shizu responds, shaking her hips and holding Shi's own something.
The vibrator was immersed deep inside Shizu.
「A~…uaa~…！」
It's not that thick, but it's long, and reaches the wall of the uterus of Shizu.
「Ah, ah…!」
Shizu experiences the vibrator vibrations on all the female genitals you can feel.
Shizu was starting to lose his strength, and finally, he buried his face in Shi's crotch.
「What's wrong, Shizu-chan? Please show me your pleasant face and serve me.」
She said this in words, and then thrusts the vibrator even more quickly.
「Nah~、auh~…ah！」
Shizu's waist grinds further, and he rubs his cheek against something soft and fluffy.
「Ah… it's a shame… Even though he's being caressed with his cute cheeks, my hair doesn't get hard at all…」
「I went to war and ended up with this body… 　But because of the war, I'm getting Shizu-chan to do this…」
「……Life is ironic… 　Shizu-chan…」
Contrary to dark words, she continues to relentlessly and violently stimulate Shizu's petals, vagina, and uterus with a vibrator.
「Ah, ah!」
Despite being obsessed with the pleasure, Shizu continues to caress Shi's things with her hardest caress.
「I'll look up… 　As usual, please show me where you reach, Shizu……」
Shi's hand rests on Shizu's chin.
「A~……！」
Shizu moved its mouth like a goldfish, drooling down the corner of his lips.
「It's beautiful… Shizu-chan……」
Shi's right hand continued to thrust violently, and the vibrator switch was turned into the strongest.
「A！！　a、a！　a~……！！ 　shi~…shiisa~…a~……！！」
Shizu trembles loudly and again, and hugging Shi's body.","El vibrador que Shi sostiene lentamente entra a Shizu.
「Bueno… está todo dentro……」
「A~…aa……」
Shizu tiembla y lo acepta.
「Este es el último vibrador que fui a Nagoya para comprar para Shizu-chan.」
Shi puso lentamente y sacó el vibrador que aún no se había encendido dos veces.
「A~…ku~…」
「¿Sientes esto? Pensé que una prostituta senior como Shizu no sería suficiente si fuera tan grueso.」
「Ku~…n~………」
Shizu lloró débilmente y sacudió la cabeza de lado a lado.
「Eso es increíble, Shizu-chan tiene tantas pollas, sin importar cuántas de sus pollas apestan, ¿no pierde su fuerza aquí?」
Dijo, luego volvió y volvió al vibrador nuevamente.
「A~…！！」
「¿Sabes? Nagoya es la persona japonesa número uno que hace esto. Escucha eso, fui a la fábrica.」
Shi recogió el interruptor del vibrador.
「Es una muestra antes de que se lance. Lo dieron gratis. ¿Eres amable gente?」
El vibrador se puede cambiar lentamente.
「A~…！！」
La cintura de Shizu se sacudió.
「¿Sientes una vibración tan débil? Shizu-chan es tan lindo」
Las manos de Shi se extienden hacia los senos de Shizu.
「A~…n~……」
「Shizu-chan, ¿me lavarás también? Me he estado bañando por un tiempo」
「~……Ha…hai……」
Shizu se extiende tímidamente al cuerpo de Shi.
El líquido se derramó de la bomba y la frotó con mis palmas, creando mucha espuma.
Él estira su mano en la esbelta y delgada cosa delgada de Shi.
「Si esto fuera útil, podría haber amado a Shizu-chan por mucho… pero solo puedo hacerlo porque voy a hacer que lo lave…」
Dijo, haciendo que el vibrador vibrante un poco más fuerte.
「A~…aa~…！」
La vibración estimula a Shizu y lo hace gritar.
「Aku~…n~…nn~…」
Suprimiendo sus caderas de contracción, Shizu lo acaricia, lo que nunca se endurece con espuma y palma.
「Se siente bien… shizu-chan……」
También fortalece la vibración del vibrador.
「A~……kua~…ah！」
La cintura de Shizu se mueve bruscamente, como si hubiera sido golpeado por un rayo.
Aún así, Shizu soportó el sorbo de Shi sin sostenerla con fuerza sobre ella, moviendo sus manos lentamente.
「Eres valiente, Shizu… es emocionante… 　¿puedes continuar así?」
「~…Ha…i~…a~……nn~…！」
Shizu lava los artículos de Shi con las manos, lo que hace que su temblor sea cada vez más.
Mientras Shi miraba a Shizu, comenzó a frotar el vibrador contra los pétalos de Shizu, moviendo sus caderas.
「A~…ah~…！」
Shizu responde, sacudiendo sus caderas y sosteniendo el propio SHI.
El vibrador estaba inmerso en el fondo de Shizu.
「A~…uaa~…！」
No es tan grueso, pero es largo, y llega a la pared del útero de Shizu.
「¡Ah, ah…!」
Shizu experimenta las vibraciones vibrador en todos los genitales femeninos que puedes sentir.
Shizu estaba empezando a perder su fuerza, y finalmente, enterró su rostro en la entrepierna de Shi.
「¿Qué pasa, Shizu-chan? Por favor, muéstrame tu cara agradable y sirve.」
Ella dijo esto en palabras y luego empuja el vibrador aún más rápido.
「Nah~、auh~…ah！」
La cintura de Shizu se mueve aún más, y él frota su mejilla contra algo suave y esponjoso.
「Ah… es una pena… a pesar de que está siendo acariciado con sus lindas mejillas, mi cabello no se pone duro en absoluto…」
「Fui a la guerra y terminé con este cuerpo… 　pero debido a la guerra, estoy haciendo que Shizu-chan haga esto…」
「……La vida es irónica… 　shizu-chan…」
Contrariamente a las palabras oscuras, continúa estimulando incansablemente y violentamente los pétalos de Shizu, la vagina y el útero con un vibrador.
「¡Ah, ah!」
A pesar de estar obsesionado con el placer, Shizu continúa acariciando las cosas de Shi con su caricia más dura.
「Miraré hacia arriba… 　Como siempre, muéstrame a dónde llegas, Shizu……」
La mano de Shi descansa en la barbilla de Shizu.
「A~……！」
Shizu movió la boca como un pez dorado, babeando por la esquina de sus labios.
「Es hermoso… shizu-chan……」
La mano derecha de Shi continuó empujando violentamente, y el interruptor del vibrador se convirtió en el más fuerte.
「A！！　a、a！　a~……！！ 　shi~…shiisa~…a~……！！」
Shizu tiembla fuerte y nuevamente, y abrazando el cuerpo de Shi."
__system__??,{CG_MODE = 1:,,
__system__??,},,
narrator,悪司は美味しいと評判の団子屋の前にきていた。,Akuji came in front of a dumpling shop with a reputation for delicious dumplings.,Akuji llegó frente a una tienda de bollos con buena reputación.
Yamamoto Akuji (talking),"どーれ、その美味い団子ってやつを 頂くとするか。
おーい。","Well, let's have some of those tasty dumplings.
Hey.","Hazlo, vamos a comer algunos de esos sabrosos dumplings.
Hola."
Tanzawa Shizu (talking),あ、はい…？,"Uh, yes…?","Eh, ¿sí…?"
narrator,娘はもう、店じまいをしていた。,My daughter had already closed up store.,Mi hija ya había cerrado la tienda.
Yamamoto Akuji (thinking),いやな予感……,I have a bad feeling about this: ……,Tengo un mal presentimiento: ……
Yamamoto Akuji (talking),団子欲しいんだけど…,I need some dumplings…,Quiero una albóndiga…
Tanzawa Shizu (talking),すみません… 今日はもう売り切れで……,Sorry… we're sold out today: ……,Lo sentimos… hoy estamos agotados: ……
